Subject,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation
Physics,Easy,A body moves with a constant speed of 10 m/s in a straight line. What is its acceleration?,0 m/s²,5 m/s²,-5 m/s²,10 m/s²,A,"Since the body moves with constant speed, its velocity does not change, so acceleration is zero. Acceleration is the rate of change of velocity (a = dv/dt). Constant speed implies dv = 0, hence a = 0 m/s². PUC: Mechanics, Class 11."
Physics,Medium,A particle is projected at an angle of 60° with a speed of 20 m/s. What is the maximum height reached? (g = 10 m/s²),15 m,30 m,7.5 m,10 m,A,"Maximum height H = (u² sin²θ)/(2g). Here, u = 20 m/s, θ = 60°, sin 60° = √3/2, g = 10 m/s². H = (20² * (√3/2)²)/(2 * 10) = (400 * 3/4)/20 = 15 m. PUC: Motion in a Plane, Class 11."
Physics,Hard,"In a circuit, a 6 Ω resistor and a 12 Ω resistor are connected in series with a 12 V battery. What is the current through the 12 Ω resistor?",0.5 A,1 A,2 A,0.67 A,A,"In series, total resistance R = 6 Ω + 12 Ω = 18 Ω. Current I = V/R = 12 V / 18 Ω = 0.67 A. The same current flows through both resistors in series. PUC: Current Electricity, Class 12."
Physics,Medium,What is the dimensional formula of electric field intensity?,MLT⁻³A⁻¹,ML²T⁻³A⁻¹,MLT⁻²A⁻¹,ML²T⁻²A⁻¹,A,"Electric field E = F/q, where F is force (MLT⁻²) and q is charge (AT). Thus, E = (MLT⁻²)/(AT) = MLT⁻³A⁻¹. PUC: Electrostatics, Class 12."
Physics,Easy,The SI unit of power is:,Joule,Watt,Newton,Ampere,B,"Power is energy per unit time (J/s), and the SI unit is Watt (W). PUC: Work, Energy, and Power, Class 11."
Chemistry,Easy,What is the atomic number of Carbon?,6,12,14,8,A,"Carbon’s atomic number is 6, as it has 6 protons in its nucleus. PUC: Structure of Atom, Class 11."
Chemistry,Medium,What is the IUPAC name of CH₃CH₂OH?,Methanol,Ethanol,Propanol,Butanol,B,"CH₃CH₂OH has two carbon atoms, so it’s ethanol. Methanol is CH₃OH, propanol is C₃H₇OH, etc. PUC: Organic Chemistry, Class 12."
Chemistry,Hard,"In a reaction, 2A + B → C, the rate of reaction doubles when [A] is doubled and remains unchanged when [B] is doubled. What is the order of reaction?",1,2,3,0,A,"Rate = k[A]ᵐ[B]ⁿ. Doubling [A] doubles rate, so m = 1. Doubling [B] doesn’t change rate, so n = 0. Total order = m + n = 1 + 0 = 1. PUC: Chemical Kinetics, Class 12."
Chemistry,Medium,The pH of a 0.01 M HCl solution is:,2,1,3,4,A,"HCl is a strong acid, fully dissociates. [H⁺] = 0.01 M. pH = -log[H⁺] = -log(0.01) = 2. PUC: Equilibrium, Class 12."
Chemistry,Easy,Which gas is known as laughing gas?,N₂O,NO,CO₂,SO₂,A,"Nitrous oxide (N₂O) is called laughing gas due to its euphoric effects. PUC: p-Block Elements, Class 12."
Mathematics,Easy,"If A = {1, 2, 3}, how many subsets does A have?",4,8,6,2,B,"Number of subsets = 2ⁿ, where n is the number of elements. Here, n = 3, so 2³ = 8. PUC: Sets, Class 11."
Mathematics,Medium,What is the derivative of x² + 3x with respect to x?,2x + 3,x + 3,2x,x²,A,"Using the power rule, d/dx(x²) = 2x, d/dx(3x) = 3. So, derivative = 2x + 3. PUC: Continuity and Differentiability, Class 12."
Mathematics,Hard,The equation of the tangent to the curve y = x³ at x = 2 is:,y = 12x - 16,y = 12x + 16,y = 6x - 8,y = 6x + 8,A,"At x = 2, y = 2³ = 8. Slope = dy/dx = 3x², at x = 2, slope = 3(2²) = 12. Tangent: y - 8 = 12(x - 2) → y = 12x - 16. PUC: Application of Derivatives, Class 12."
Mathematics,Medium,"If sin θ = 1/2 and θ is in the first quadrant, what is cos θ?",√3/2,1/√2,1/2,√2/2,B,"Using sin²θ + cos²θ = 1, cos²θ = 1 - (1/2)² = 1 - 1/4 = 3/4. Thus, cos θ = √3/2 (positive in 1st quadrant). PUC: Trigonometric Functions, Class 11."
Mathematics,Easy,The value of 5! is:,120,60,24,720,A,"5! = 5 × 4 × 3 × 2 × 1 = 120. PUC: Permutations and Combinations, Class 11."
Biology,Easy,Which cell organelle is known as the powerhouse of the cell?,Nucleus,Mitochondria,Chloroplast,Golgi Apparatus,B,"Mitochondria produce ATP via cellular respiration, earning the title 'powerhouse.' PUC: Cell: The Unit of Life, Class 11."
Biology,Medium,"In Mendel’s experiment, the F1 generation of a tall and dwarf pea plant cross is:",All tall,All dwarf,Half tall half dwarf,3:1 tall to dwarf,A,"In a monohybrid cross (TT × tt), F1 generation is all heterozygous (Tt), showing the dominant trait (tall). PUC: Principles of Inheritance, Class 12."
Biology,Hard,What is the role of tRNA in protein synthesis?,Carries amino acids,Carries mRNA,Breaks peptide bonds,Forms ribosomes,A,"tRNA transfers specific amino acids to the ribosome, matching codons on mRNA during translation. PUC: Molecular Basis of Inheritance, Class 12."
Biology,Medium,Which gas is primarily responsible for photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,B,"Carbon dioxide is fixed in the Calvin cycle to produce glucose during photosynthesis. PUC: Photosynthesis, Class 11."
Biology,Easy,The human heart has how many chambers?,2,3,4,5,C,"The human heart has four chambers: two atria and two ventricles. PUC: Body Fluids and Circulation, Class 11."
Physics_Set2,Easy,What is the SI unit of force?,Newton,Watt,Joule,Ampere,A,"Force is measured in Newton (N), where 1 N = kg·m/s². PUC: Laws of Motion, Class 11."
Physics_Set2,Medium,A 2 kg object accelerates at 5 m/s². What is the net force acting on it?,5 N,10 N,2 N,15 N,B,"Force F = ma = 2 kg × 5 m/s² = 10 N. PUC: Laws of Motion, Class 11."
Physics_Set2,Hard,A lens has a focal length of 20 cm. An object is placed 30 cm from it. What is the image distance?,60 cm,-60 cm,12 cm,-12 cm,C,"Using lens formula: 1/f = 1/v - 1/u. f = 20 cm, u = -30 cm. 1/20 = 1/v + 1/30 → 1/v = 1/20 - 1/30 = 1/60 → v = 60 cm. PUC: Ray Optics, Class 12."
Physics_Set2,Medium,The work done by a force of 10 N moving an object 5 m along its direction is:,50 J,10 J,5 J,0 J,A,"Work W = F × d × cosθ. Here, F = 10 N, d = 5 m, θ = 0°, so W = 10 × 5 × 1 = 50 J. PUC: Work, Energy, and Power, Class 11."
Physics_Set2,Easy,The speed of sound in air at 0°C is approximately:,343 m/s,331 m/s,300 m/s,400 m/s,B,"Speed of sound at 0°C is ~331 m/s, increasing by ~0.6 m/s per °C. PUC: Waves, Class 11."
